Rank,State or Territory,Per Capita Income,Median Household Income,Median Family Income,Population,Number of Households,Number of Families,state_code
1,District of Columbia,45877,71648,84094,658893,277378,117864,DC
2,Connecticut,39373,70048,88819,3596677,1355817,887263,CT
3,New Jersey,37288,69160,87951,8938175,2549336,1610581,NJ
4,Massachusetts,36593,71919,88419,6938608,3194844,2203675,MA
5,Maryland,36338,73971,89678,5976407,2165438,1445972,MD
6,New Hampshire,34691,66532,80581,1326813,519756,345901,NH
7,Virginia,34052,64902,78290,8326289,3083820,2058820,VA
8,New York,33095,58878,71115,19746227,7282398,4621954,NY
9,North Dakota,33071,59029,75221,739482,305431,187800,ND
10,Alaska,33062,71583,82307,736732,249659,165015,AK
11,Minnesota,32638,61481,77941,5457173,2129195,1369594,MN
12,Colorado,32357,61303,75405,5355866,2039592,1315283,CO
13,Washington,31841,61366,74193,7061530,2679601,1725099,WA
14,Rhode Island,30830,54891,71212,1055173,409654,257165,RI
15,Delaware,30488,59716,72594,935614,349743,233000,DE
16,California,30441,61933,71015,38802500,12758648,8762059,CA
17,Illinois,30417,57444,71796,12880580,4772421,3099184,IL
18,Hawaii,29736,69592,79187,1419561,450769,314151,HI
19,Wyoming,29698,57055,72460,584153,232594,149032,WY
20,Pennsylvania,29220,53234,67876,12787209,4945972,3185054,PA
21,Vermont,29178,54166,67154,626562,257229,162017,VT
,United States,28889,53657,65910,318857056,117259427,77152072,
22,Iowa,28361,53712,67771,3107126,1241471,801562,IA
23,Wisconsin,28213,52622,67187,5757564,2307685,1485877,WI
24,Maine,27978,49462,62078,1330089,549841,344585,ME
25,Kansas,27870,52504,66425,2904021,1109280,728602,KS
26,Oregon,27646,51075,62670,3970239,1535511,966250,OR
27,Nebraska,27446,52686,66120,1881503,740765,480317,NE
28,Texas,27125,53035,62830,26956958,9277197,6407165,TX
29,South Dakota,26959,50979,66936,853175,334475,211235,SD
30,Ohio,26937,49308,62300,11594163,4593172,2923523,OH
31,Michigan,26613,49847,62143,9909877,3834574,2485159,MI
32,Florida,26582,47463,57212,19893297,7328046,4693411,FL
33,Missouri,26126,48363,61299,6063589,2354809,1508816,MO
34,Montana,25989,46328,60643,1023579,410962,251176,MT
35,North Carolina,25774,46556,57380,9943964,3790620,2492048,NC
36,Nevada,25773,51450,60824,2839099,1021519,642461,NV
37,Arizona,25715,50068,59700,6731484,2428743,1579481,AZ
38,Georgia,25615,49321,58885,10097343,3587521,2426392,GA
39,Oklahoma,25229,47529,58710,3878051,1459759,966516,OK
40,Indiana,25140,49446,60780,6596855,2502739,1657223,IN
41,Tennessee,24922,44361,55557,6549352,2509665,1660344,TN
42,Utah,24877,60922,69535,2942902,918370,691495,UT
43,Louisiana,24800,44555,56573,4649676,1718194,1112659,LA
44,South Carolina,24596,45238,56491,4832482,1826914,1201616,SC
45,Idaho,23938,47861,58101,1634464,591587,407499,ID
46,Kentucky,23684,42958,54776,4413457,1712094,1124586,KY
47,New Mexico,23683,44803,54705,2085572,760916,489532,NM
48,Alabama,23606,42830,53764,4849377,1841217,1232515,AL
49,Arkansas,22883,41262,51528,2966369,1131288,752212,AR
50,West Virginia,22714,41059,52413,1850326,735375,472869,WV
51,U.S. Virgin Islands,21362,37254,45058,106405,43214,26237,
52,Mississippi,21036,39680,50178,2994079,1095823,738463,MS
53,Guam,16549,48274,50607,162742,42026,34199,
54,Puerto Rico,12081,19775,23793,3195153,1222606,850665,
55,Northern Mariana Islands,9656,19958,22455,53833,16035,10714,
56,American Samoa,6311,23892,24706,55519,9688,8834,
